cod_municipio_ibge,NO_MUNICIPIO_RESIDENCIA,UF,mean_grades_group_cities
1100015,Alta Floresta D'Oeste,RO,493.00977393617023
1100023,Ariquemes,RO,491.6424118658641
1100031,Cabixi,RO,479.756640625
1100049,Cacoal,RO,497.1760065885798
1100056,Cerejeiras,RO,493.3808219178082
1100064,Colorado do Oeste,RO,495.07673992673995
1100072,Corumbiara,RO,481.59525862068966
1100080,Costa Marques,RO,461.05155279503106
1100098,Espigão D'Oeste,RO,494.15892
1100106,Guajará-Mirim,RO,465.0480548037889
1100114,Jaru,RO,482.15831562167904
1100122,Ji-Paraná,RO,491.13262750455374
1100130,Machadinho D'Oeste,RO,482.36507936507934
1100148,Nova Brasilândia D'Oeste,RO,485.94425925925924
1100155,Ouro Preto do Oeste,RO,486.2979230769231
1100189,Pimenta Bueno,RO,487.58038903061225
1100205,Porto Velho,RO,489.0845481857426
1100254,Presidente Médici,RO,486.49800194931777
1100262,Rio Crespo,RO,470.42287234042556
1100288,Rolim de Moura,RO,489.3412056010929
1100296,Santa Luzia D'Oeste,RO,485.8843537414966
1100304,Vilhena,RO,498.6195685670262
1100320,São Miguel do Guaporé,RO,478.2964391691395
1100338,Nova Mamoré,RO,463.4409429280397
1100346,Alvorada D'Oeste,RO,479.18309426229507
1100379,Alto Alegre dos Parecis,RO,478.20617283950617
1100403,Alto Paraíso,RO,479.76199324324324
1100452,Buritis,RO,476.9779379157428
1100502,Novo Horizonte do Oeste,RO,487.3090460526316
1100601,Cacaulândia,RO,480.8049295774648
1100700,Campo Novo de Rondônia,RO,472.17214285714283
1100809,Candeias do Jamari,RO,479.09930555555553
1100908,Castanheiras,RO,460.031862745098
1100924,Chupinguaia,RO,461.35887096774195
1100940,Cujubim,RO,464.21696969696967
1101005,Governador Jorge Teixeira,RO,464.2482421875
1101104,Itapuã do Oeste,RO,469.7628086419753
1101203,Ministro Andreazza,RO,479.519099378882
1101302,Mirante da Serra,RO,480.76278538812784
1101401,Monte Negro,RO,471.975
1101435,Nova União,RO,481.0436781609195
1101450,Parecis,RO,483.3290816326531
1101468,Pimenteiras do Oeste,RO,459.8636363636364
1101476,Primavera de Rondônia,RO,475.45824175824174
1101484,São Felipe D'Oeste,RO,488.575
1101492,São Francisco do Guaporé,RO,474.88003802281366
1101500,Seringueiras,RO,472.71972222222223
1101559,Teixeirópolis,RO,471.5469135802469
1101609,Theobroma,RO,483.1276666666667
1101708,Urupá,RO,486.7804012345679
1101757,Vale do Anari,RO,471.36033333333336
1101807,Vale do Paraíso,RO,477.7493362831858
1200013,Acrelândia,AC,470.07149122807016
1200054,Assis Brasil,AC,472.3420138888889
1200104,Brasiléia,AC,482.5442926045016
1200138,Bujari,AC,462.6595132743363
1200179,Capixaba,AC,467.65384615384613
1200203,Cruzeiro do Sul,AC,473.937449127907
1200252,Epitaciolândia,AC,482.8649779735683
1200302,Feijó,AC,469.25163656884877
1200328,Jordão,AC,458.39769736842106
1200336,Mâncio Lima,AC,459.5684368737475
1200344,Manoel Urbano,AC,468.4866336633663
1200351,Marechal Thaumaturgo,AC,446.8591836734694
