"","cod_municipio_ibge","municipio","fibra_optica","wifi","ethernet","lte","vsatelite","wimax","plc_eletrico","xdsl","cable_modem","fwa_5g_fixed","atm_backbone","dth_satelite","hfc_tv_cabo","fr_frame_relay","mmds"
"1",3112406,"Capetinga",0,0,2,0,0,0,0,33,0,4,0,0,0,0,0
"2",3115102,"Cássia",0,0,2,0,0,0,0,522,0,7,0,0,0,0,0
"3",3133758,"Itaú de Minas",0,0,7,0,0,0,0,219,0,7,0,0,0,0,0
"4",3134806,"Jacuí",0,0,3,0,0,0,0,0,0,0,0,0,1,0,0
"5",3143203,"Monte Santo de Minas",0,0,0,0,0,0,0,0,0,3,1,0,0,0,0
"6",3147907,"Passos",0,0,0,0,0,0,0,0,0,19,11,0,0,1,0
"7",3152907,"Pratápolis",0,0,1,0,0,0,0,140,0,0,0,0,0,1,0
"8",3164704,"São Sebastião do Paraíso",0,0,0,0,0,0,0,1665,0,0,6,0,0,1,0
"9",3165107,"São Tomás de Aquino",0,0,0,0,50,0,0,63,0,1,0,0,0,0,0
"10",3543402,"Ribeirão Preto",0,0,0,0,0,0,0,0,0,0,0,0,112624,0,0
"11",3546256,"Santa Cruz da Esperança",0,0,0,0,0,0,0,0,0,0,5,0,0,0,0
"12",2904100,"Boquira",522,0,0,0,0,0,0,62,0,3,0,0,0,0,0
"13",2904308,"Brejões",0,0,649,0,0,0,0,24,0,6,0,0,0,0,0
"14",4104808,"Cascavel",0,0,0,0,0,0,0,0,0,0,157,0,23298,0,0
"15",4101705,"Araruna",0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"16",3152808,"Prata",0,0,0,0,0,0,0,0,0,3,2,0,0,0,0
"17",2918506,"Jussara",0,0,0,0,0,0,0,44,0,0,0,0,0,0,0
"18",4113007,"Jussara",0,293,0,0,0,0,0,119,0,1,0,0,0,1,0
"19",3118007,"Congonhas",0,0,10,0,0,5,0,2405,0,0,0,0,0,6,0
"20",3118304,"Conselheiro Lafaiete",0,0,111,0,0,0,0,7126,0,46,11,0,0,8,0
"21",3131307,"Ipatinga",0,0,0,0,0,0,0,0,0,0,0,0,5847,2,0
"22",3131703,"Itabira",0,0,0,0,0,0,0,0,0,29,10,0,1,2,0
"23",3133600,"Itapeva",0,0,2,0,0,0,0,185,0,8,0,0,0,0,0
"24",4127700,"Toledo",0,0,0,0,0,0,0,0,360,0,28,0,0,6,0
"25",4108809,"Guaíra",0,0,0,0,0,0,0,607,0,0,0,0,0,4,0
"26",3550308,"São Paulo",0,0,0,0,0,0,0,0,0,0,33821,0,0,0,0
"27",4101507,"Arapongas",0,0,0,0,0,0,0,10427,0,0,22,0,8971,8,0
"28",4103305,"Borrazópolis",0,0,0,0,0,0,0,260,0,0,0,0,0,0,0
"29",4103800,"Cambira",0,68,4,0,0,0,0,222,0,0,0,0,0,0,0
"30",4104303,"Campo Mourão",0,0,0,0,0,0,0,8120,0,17,17,0,0,6,0
"31",4105508,"Cianorte",0,0,0,0,0,0,0,0,0,0,0,0,3715,4,0
"32",4106902,"Curitiba",0,0,0,0,0,105,0,0,1388,0,0,0,0,0,0
"33",4107256,"Douradina",0,0,6,0,0,0,0,82,0,1,0,0,0,2,0
"34",4107306,"Doutor Camargo",0,0,0,0,0,0,0,212,0,0,0,0,0,1,0
"35",4107504,"Engenheiro Beltrão",0,0,0,0,0,0,0,599,0,0,2,0,0,1,0
"36",4107751,"Figueira",0,0,0,0,0,0,0,36,0,0,1,0,0,1,0
"37",4108601,"Goioerê",0,0,0,0,0,0,0,889,0,0,2,0,0,6,0
"38",4112108,"Jandaia do Sul",0,0,0,0,0,0,0,0,0,0,2,0,0,1,0
"39",4113700,"Londrina",0,0,0,0,0,1,0,0,0,0,249,0,48270,0,0
"40",4114005,"Mamborê",0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
"41",4114203,"Mandaguari",0,0,0,0,0,0,0,0,0,0,3,0,0,1,0
"42",4114609,"Marechal Cândido Rondon",0,0,0,0,0,0,0,817,0,10,0,0,0,4,0
"43",4114807,"Marialva",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
"44",4115200,"Maringá",0,0,0,0,0,0,0,0,53,0,260,0,38551,0,0
"45",4117503,"Paiçandu",0,0,0,0,0,0,0,0,0,0,5,0,1,4,0
"46",4117909,"Palotina",0,0,24,0,0,0,0,524,0,1,0,0,0,3,0
"47",4118402,"Paranavaí",0,0,0,0,0,0,0,0,998,8,14,0,0,8,0
"48",4118808,"Peabiru",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"49",4126256,"Sarandi",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"50",4204202,"Chapecó",0,0,0,0,0,0,0,0,0,0,50,0,9052,0,0
"51",5005707,"Naviraí",0,0,212,0,0,0,0,2357,0,3,0,0,0,2,0
"52",3515707,"Ferraz de Vasconcelos",0,0,0,0,0,0,0,0,0,0,133,0,1,0,0
"53",3556503,"Várzea Paulista",0,0,0,544,0,0,0,10719,0,4,76,0,0,0,0
"54",4309704,"Humaitá",0,0,2,0,0,0,0,67,0,0,0,0,0,0,0
"55",4319109,"São Martinho",0,0,1,0,0,0,0,83,0,0,0,0,0,0,0
"56",4306007,"Crissiumal",0,0,1,0,24,0,0,130,0,0,1,0,0,0,0
"57",4313011,"Nova Candelária",0,0,1,0,0,0,0,3,0,0,0,0,0,1,0
"58",4319737,"São Valério do Sul",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
"59",4320230,"Sede Nova",0,5,0,0,0,0,0,16,0,0,0,0,0,1,0
"60",3548906,"São Carlos",0,0,0,0,0,0,0,0,0,186,358,0,55326,0,0
"61",3509502,"Campinas",0,0,0,0,0,0,0,0,0,0,2908,0,0,0,0
"62",3522604,"Itapira",0,0,2,0,0,0,0,5487,0,0,109,0,2,0,0
"63",5107040,"Primavera do Leste",0,0,0,0,0,0,0,0,0,0,0,0,0,9,0
"64",3501707,"Américo Brasiliense",0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
"65",3552809,"Taboão da Serra",0,0,0,0,0,0,0,0,0,27,345,0,14325,0,0
"66",1508084,"Tucumã",0,0,0,0,0,0,0,56,1,1,4,0,0,0,0
"67",4201406,"Araranguá",0,0,0,0,17,0,0,1531,0,35,2,0,0,3,0
"68",4202073,"Balneário Gaivota",0,0,4,0,0,0,0,286,0,1,0,0,0,0,0
"69",4215653,"Santa Rosa do Sul",0,0,0,0,0,0,0,134,0,0,0,0,0,0,0
"70",4217709,"Sombrio",0,0,0,0,0,0,0,787,0,4,0,0,0,0,0
"71",4314100,"Passo Fundo",0,0,0,0,0,0,0,0,0,30,54,0,21751,25,0
"72",3306008,"Três Rios",0,0,0,0,0,0,0,5188,332,6,7,0,0,0,0
"73",1500800,"Ananindeua",0,0,0,6985,0,0,0,0,0,0,0,0,0,2,0
"74",2111409,"São Luís Gonzaga do Maranhão",0,0,0,0,0,0,0,44,0,8,0,0,0,0,0
"75",2211001,"Teresina",0,0,0,4830,0,0,0,30833,0,0,85,0,39366,0,0
"76",2931350,"Teixeira de Freitas",0,0,0,0,0,0,0,3018,0,0,0,0,0,0,0
"77",3201308,"Cariacica",0,0,0,1529,0,368,0,0,0,0,70,0,8237,0,0
"78",3205002,"Serra",0,0,0,722,0,0,0,0,0,0,172,0,0,0,0
"79",3205200,"Vila Velha",0,0,0,1714,0,0,0,0,0,0,145,0,0,0,0
"80",2704104,"Lagoa da Canoa",0,0,301,0,0,0,0,18,0,5,0,0,0,1,0
"81",2405009,"Jaçanã",0,0,6,0,0,0,0,13,0,7,0,0,0,0,0
"82",2505105,"Cuité",0,876,1,0,0,0,0,56,0,7,0,0,0,1,0
