"cod_mun","municipio","uf","pib","pib_p_capta"
1100015,"Alta Floresta D'Oeste                                                                                                           ","RO ",495628767,21600.73
1100023,"Ariquemes                                                                                                                       ","RO ",2578829725,23908.38
1100031,"Cabixi                                                                                                                          ","RO ",139959390,26347.78
1100049,"Cacoal                                                                                                                          ","RO ",2260643565,26483.95
1100056,"Cerejeiras                                                                                                                      ","RO ",506854457,31051.55
1100064,"Colorado do Oeste                                                                                                               ","RO ",334851274,21083.7
1100072,"Corumbiara                                                                                                                      ","RO ",349247369,47253.06
1100080,"Costa Marques                                                                                                                   ","RO ",238768544,13025.4
1100098,"Espigão D'Oeste                                                                                                                 ","RO ",624760162,19298.21
1100106,"Guajará-Mirim                                                                                                                   ","RO ",892883182,19337.36
1100114,"Jaru                                                                                                                            ","RO ",1500889690,28988.7
1100122,"Ji-Paraná                                                                                                                       ","RO ",3782971683,29332.41
1100130,"Machadinho D'Oeste                                                                                                              ","RO ",633006802,15828.73
1100148,"Nova Brasilândia D'Oeste                                                                                                        ","RO ",359524037,17560.03
1100155,"Ouro Preto do Oeste                                                                                                             ","RO ",834168267,23148.83
1100189,"Pimenta Bueno                                                                                                                   ","RO ",1163876976,31747.87
1100205,"Porto Velho                              Região Metropolitana de Porto Velho                                                    ","RO ",17912070137,33825.46
1100254,"Presidente Médici                                                                                                               ","RO ",427751732,22529.85
1100262,"Rio Crespo                                                                                                                      ","RO ",111023296,29496.09
1100288,"Rolim de Moura                                                                                                                  ","RO ",1283433654,23310.58
1100296,"Santa Luzia D'Oeste                                                                                                             ","RO ",142611547,21957.13
1100304,"Vilhena                                                                                                                         ","RO ",2831175371,28353.15
1100320,"São Miguel do Guaporé                                                                                                           ","RO ",615803842,26768.26
1100338,"Nova Mamoré                                                                                                                     ","RO ",529261253,17305.73
1100346,"Alvorada D'Oeste                                                                                                                ","RO ",260347872,18065.91
1100379,"Alto Alegre dos Parecis                                                                                                         ","RO ",288681169,21802.07
1100403,"Alto Paraíso                                                                                                                    ","RO ",358463741,16728.75
1100452,"Buritis                                                                                                                         ","RO ",726030847,18309.15
1100502,"Novo Horizonte do Oeste                                                                                                         ","RO ",165757502,19414.09
1100601,"Cacaulândia                                                                                                                     ","RO ",144436935,23184.1
1100700,"Campo Novo de Rondônia                                                                                                          ","RO ",274627494,19423.4
1100809,"Candeias do Jamari                       Região Metropolitana de Porto Velho                                                    ","RO ",547919043,20526.69
1100908,"Castanheiras                                                                                                                    ","RO ",103962662,34063.78
