"municipios","idhm"
"São Caetano do Sul (SP)",0.862
"Águas de São Pedro (SP)",0.854
"Florianópolis (SC)",0.847
"Balneário Camboriú (SC)",0.845
"Vitória (ES)",0.845
"Santos (SP)",0.84
"Niterói (RJ)",0.837
"Joaçaba (SC)",0.827
"Brasília (DF)",0.824
"Curitiba (PR)",0.823
"Jundiaí (SP)",0.822
"Valinhos (SP)",0.819
"Vinhedo (SP)",0.817
"Santo André (SP)",0.815
"Araraquara (SP)",0.815
"Santana de Parnaíba (SP)",0.814
"Nova Lima (MG)",0.813
"Ilha Solteira (SP)",0.812
"Americana (SP)",0.811
"Belo Horizonte (MG)",0.81
"Joinville (SC)",0.809
"São José (SC)",0.809
"Maringá (PR)",0.808
"São José dos Campos (SP)",0.807
"Rio Fortuna (SC)",0.806
"Presidente Prudente (SP)",0.806
"Blumenau (SC)",0.806
"São Bernardo do Campo (SP)",0.805
"Porto Alegre (RS)",0.805
"Campinas (SP)",0.805
"São Carlos (SP)",0.805
"Assis (SP)",0.805
"São Paulo (SP)",0.805
"Rio Claro (SP)",0.803
"Jaraguá do Sul (SC)",0.803
"Rio do Sul (SC)",0.802
"Bauru (SP)",0.801
"Pirassununga (SP)",0.801
"São Miguel do Oeste (SC)",0.801
"Concórdia (SC)",0.8
"Taubaté (SP)",0.8
"Botucatu (SP)",0.8
"Vila Velha (ES)",0.8
"Ribeirão Preto (SP)",0.8
"Rio de Janeiro (RJ)",0.799
"Goiânia (GO)",0.799
"Marília (SP)",0.798
"Sorocaba (SP)",0.798
"Guaratinguetá (SP)",0.798
"Fernandópolis (SP)",0.797
"São José do Rio Preto (SP)",0.797
"São João da Boa Vista (SP)",0.797
"Itapema (SC)",0.796
"Carlos Barbosa (RS)",0.796
"Tubarão (SC)",0.796
"Itajaí (SC)",0.795
"Brusque (SC)",0.795
"Iomerê (SC)",0.795
"Treze Tílias (SC)",0.795
"Paulínia (SP)",0.795
"Holambra (SP)",0.793
"Ipiranga do Sul (RS)",0.791
"Quatro Pontes (PR)",0.791
"Nova Odessa (SP)",0.791
"Saltinho (SP)",0.791
"Três Arroios (RS)",0.791
"Votuporanga (SP)",0.79
"Adamantina (SP)",0.79
"Santa Cruz da Conceição (SP)",0.79
"Chapecó (SC)",0.79
"Lagoa dos Três Cantos (RS)",0.789
"Luzerna (SC)",0.789
"Barretos (SP)",0.789
"Uberlândia (MG)",0.789
"Cândido Rodrigues (SP)",0.789
"Mairiporã (SP)",0.788
"Caçapava (SP)",0.788
"Cruzeiro (SP)",0.788
"Palmas (TO)",0.788
"Fernando de Noronha (PE)",0.788
"Indaiatuba (SP)",0.788
"Araçatuba (SP)",0.788
"Barra Bonita (SP)",0.788
"Criciúma (SC)",0.788
"Itajubá (MG)",0.787
"Espírito Santo do Pinhal (SP)",0.787
"Barueri (SP)",0.786
"Lins (SP)",0.786
"Pompéia (SP)",0.786
"Porto União (SC)",0.786
"Garibaldi (RS)",0.786
"Monte Aprazível (SP)",0.785
"Catanduva (SP)",0.785
"Casca (RS)",0.785
"Cuiabá (MT)",0.785
"Nova Araçá (RS)",0.785
"Tremembé (SP)",0.785
"Piracicaba (SP)",0.785
"Amparo (SP)",0.785
"Santa Maria (RS)",0.784
"Campo Grande (MS)",0.784
"Ribeirão Pires (SP)",0.784
"Santa Fé do Sul (SP)",0.784
"Salto Veloso (SC)",0.784
"Mogi Mirim (SP)",0.784
"Ivoti (RS)",0.784
"Jaguariúna (SP)",0.784
"Timbó (SC)",0.784
"Arujá (SP)",0.784
"Mogi das Cruzes (SP)",0.783
"Pinhalzinho (SC)",0.783
"Horizontina (RS)",0.783
"Lavras (MG)",0.782
"Cascavel (PR)",0.782
"Pato Branco (PR)",0.782
"São Bento do Sul (SC)",0.782
"Cerquilho (SP)",0.782
"Caxias do Sul (RS)",0.782
"Santo Amaro da Imperatriz (SC)",0.781
"Maravilha (SC)",0.781
"Lacerdópolis (SC)",0.781
"Bombinhas (SC)",0.781
"Santa Bárbara D'Oeste (SP)",0.781
"Araras (SP)",0.781
"Caieiras (SP)",0.781
"Ijuí (RS)",0.781
"Águas da Prata (SP)",0.781
"Cotia (SP)",0.78
"Pomerode (SC)",0.78
"Cocal do Sul (SC)",0.78
"Corupá (SC)",0.78
"Vista Alegre do Prata (RS)",0.78
"Orlândia (SP)",0.78
"Birigui (SP)",0.78
"Braço do Trombudo (SC)",0.78
"Franca (SP)",0.78
"Bebedouro (SP)",0.78
"Nova Petrópolis (RS)",0.78
"Salto (SP)",0.78
"Boituva (SP)",0.78
"Piratininga (SP)",0.779
"Seara (SC)",0.779
"Andradina (SP)",0.779
"Poços de Caldas (MG)",0.779
"Jaboticabal (SP)",0.778
"Nova Bréscia (RS)",0.778
"Itatiba (SP)",0.778
"Bento Gonçalves (RS)",0.778
"Londrina (PR)",0.778
"Juiz de Fora (MG)",0.778
"Lajeado (RS)",0.778
"Tietê (SP)",0.778
"Braço do Norte (SC)",0.778
"Varginha (MG)",0.778
"Ourinhos (SP)",0.778
"Jaú (SP)",0.778
"Indaial (SC)",0.777
"Selbach (RS)",0.777
"José Bonifácio (SP)",0.777
"Pinheiro Preto (SC)",0.777
"Jacareí (SP)",0.777
"Sarandi (RS)",0.777
"Louveira (SP)",0.777
"Mafra (SC)",0.777
"Victor Graeff (RS)",0.777
"Farroupilha (RS)",0.777
"Lagoa Santa (MG)",0.777
"Osasco (SP)",0.776
"Erechim (RS)",0.776
"Dracena (SP)",0.776
"Araçoiaba da Serra (SP)",0.776
"Pirapozinho (SP)",0.776
"Passo Fundo (RS)",0.776
"Jales (SP)",0.776
"Iracemápolis (SP)",0.776
"Bragança Paulista (SP)",0.776
"Itaú de Minas (MG)",0.776
"Trombudo Central (SC)",0.775
"Ceres (GO)",0.775
"Itapiranga (SC)",0.775
"Limeira (SP)",0.775
"Viçosa (MG)",0.775
"Xanxerê (SC)",0.775
"Santa Rita do Passa Quatro (SP)",0.775
"Cruzália (SP)",0.774
"Mogi Guaçu (SP)",0.774
"Massaranduba (SC)",0.774
"Siderópolis (SC)",0.774
"Treviso (SC)",0.774
"Ouro (SC)",0.774
"Marau (RS)",0.774
"Marechal Cândido Rondon (PR)",0.774
"Pouso Alegre (MG)",0.774
"São José do Rio Pardo (SP)",0.774
"Pedrinhas Paulista (SP)",0.774
"Francisco Beltrão (PR)",0.774
"Rio das Ostras (RJ)",0.773
"Santana da Ponte Pensa (SP)",0.773
"Olímpia (SP)",0.773
"Santa Cruz do Sul (RS)",0.773
"Pindamonhangaba (SP)",0.773
"Itu (SP)",0.773
"Auriflama (SP)",0.773
"Serra Alta (SC)",0.773
"Matão (SP)",0.773
"Sebastianópolis do Sul (SP)",0.773
"Araguari (MG)",0.773
"Paraí (RS)",0.773
"Veranópolis (RS)",0.773
"Santo Ângelo (RS)",0.772
"Urussanga (SC)",0.772
"Uberaba (MG)",0.772
"Monções (SP)",0.772
"Santa Salete (SP)",0.772
"Recife (PE)",0.772
"Araxá (MG)",0.772
"São Sebastião (SP)",0.772
"Aratiba (RS)",0.772
"Sales Oliveira (SP)",0.772
"Maracaí (SP)",0.771
"Poá (SP)",0.771
"Volta Redonda (RJ)",0.771
"Tupã (SP)",0.771
"Ipatinga (MG)",0.771
"Itá (SC)",0.771
"Lajeado Grande (SC)",0.771
"Montes Claros (MG)",0.77
"Timóteo (MG)",0.77
"Presidente Castello Branco (SC)",0.77
"Aracaju (SE)",0.77
"Macatuba (SP)",0.77
"Santa Rosa de Viterbo (SP)",0.77
"Oriente (SP)",0.77
"Ouroeste (SP)",0.77
"Vargem Grande Paulista (SP)",0.77
"Lages (SC)",0.77
"Armazém (SC)",0.77
"Garça (SP)",0.769
"Campo Limpo Paulista (SP)",0.769
"Schroeder (SC)",0.769
"Taboão da Serra (SP)",0.769
"São Carlos (SC)",0.769
"Cosmópolis (SP)",0.769
"Arroio do Meio (RS)",0.769
"Tupi Paulista (SP)",0.769
"Santa Rosa (RS)",0.769
"Pedreira (SP)",0.769
"Barbacena (MG)",0.769
"Monte Alto (SP)",0.768
"Palotina (PR)",0.768
"Bilac (SP)",0.768
"Maracajá (SC)",0.768
"São Roque (SP)",0.768
"Lucas do Rio Verde (MT)",0.768
"São Vicente (SP)",0.768
"São Marcos (RS)",0.768
"Toledo (PR)",0.768
"Três Passos (RS)",0.768
"Resende (RJ)",0.768
"Igarapava (SP)",0.768
"Nova Veneza (SC)",0.768
"Nova Boa Vista (RS)",0.768
"São Luís (MA)",0.768
"Regente Feijó (SP)",0.768
"Novo Xingu (RS)",0.767
"Capivari de Baixo (SC)",0.767
"Orindiúva (SP)",0.767
"Encantado (RS)",0.767
"Serra Negra (SP)",0.767
"Dois Vizinhos (PR)",0.767
"Votorantim (SP)",0.767
"Avaré (SP)",0.767
"Estrela (RS)",0.767
"Santiago (RS)",0.766
"Ivatuba (PR)",0.766
"Mauá (SP)",0.766
"Pereira Barreto (SP)",0.766
"Alumínio (SP)",0.766
"Parnamirim (RN)",0.766
"São Simão (SP)",0.766
"Poloni (SP)",0.766
"Catalão (GO)",0.766
"Lorena (SP)",0.766
"Carazinho (RS)",0.766
"Cedral (SP)",0.766
"Nova Prata (RS)",0.766
"Peritiba (SC)",0.766
"Capivari do Sul (RS)",0.766
"Ibirubá (RS)",0.765
"Atibaia (SP)",0.765
"Colinas (RS)",0.765
"Nova Erechim (SC)",0.765
"São Domingos (SC)",0.765
"Guaporé (RS)",0.765
"Suzano (SP)",0.765
"Patos de Minas (MG)",0.765
"Não-Me-Toque (RS)",0.765
"Maricá (RJ)",0.765
"Ituverava (SP)",0.765
"Nova Europa (SP)",0.765
"Espumoso (RS)",0.765
"Imbituba (SC)",0.765
"Gaspar (SC)",0.765
"Arroio Trinta (SC)",0.764
"Imbé (RS)",0.764
"Gramado (RS)",0.764
"Montauri (RS)",0.764
"Santo Antônio do Palma (RS)",0.764
"Macaé (RJ)",0.764
"Paraíso do Tocantins (TO)",0.764
"São Valentim do Sul (RS)",0.764
"Cerro Largo (RS)",0.764
"Rosana (SP)",0.764
"Ouro Branco (MG)",0.764
"Lençóis Paulista (SP)",0.764
"Rondinha (RS)",0.764
"Cachoeira Paulista (SP)",0.764
"Divinópolis (MG)",0.764
"Videira (SC)",0.764
"Itapetininga (SP)",0.763
"Ponta Grossa (PR)",0.763
"São Domingos do Sul (RS)",0.763
"Guararapes (SP)",0.763
"Guarulhos (SP)",0.763
"Fagundes Varela (RS)",0.763
"Gabriel Monteiro (SP)",0.763
"Barra Funda (RS)",0.763
"Buritama (SP)",0.763
"São Pedro do Butiá (RS)",0.763
"Presidente Venceslau (SP)",0.763
"Natal (RN)",0.763
"João Pessoa (PB)",0.763
"Medianeira (PR)",0.763
"Paranavaí (PR)",0.763
"Santa Cruz do Rio Pardo (SP)",0.762
"Paraguaçu Paulista (SP)",0.762
"São Joaquim da Barra (SP)",0.762
"Boa Vista do Buricá (RS)",0.762
"Mococa (SP)",0.762
"Sumaré (SP)",0.762
"São Francisco do Sul (SC)",0.762
"Mirassol (SP)",0.762
"Serranópolis do Iguaçu (PR)",0.762
"Torres (RS)",0.762
"Itupeva (SP)",0.762
"Saldanha Marinho (RS)",0.762
"Itapira (SP)",0.762
"Osvaldo Cruz (SP)",0.762
"David Canabarro (RS)",0.762
"Zortéa (SC)",0.761
"Vila Maria (RS)",0.761
"Conselheiro Lafaiete (MG)",0.761
"Nova Pádua (RS)",0.761
"Itapoá (SC)",0.761
"Santa Rita D'Oeste (SP)",0.761
"Batatais (SP)",0.761
"Indiana (SP)",0.761
"Iguaba Grande (RJ)",0.761
"Entre Rios do Oeste (PR)",0.761
"Alfenas (MG)",0.761
"Panambi (RS)",0.761
"Sertãozinho (SP)",0.761
"Taió (SC)",0.761
"Umuarama (PR)",0.761
"São João do Oeste (SC)",0.761
"Araranguá (SC)",0.76
"Serafina Corrêa (RS)",0.76
"Goiandira (GO)",0.76
"Tapejara (RS)",0.76
"Frederico Westphalen (RS)",0.76
"Santa Adélia (SP)",0.76
"Porto Belo (SC)",0.76
"Estrela D'Oeste (SP)",0.76
"Sete Lagoas (MG)",0.76
"Descalvado (SP)",0.76
"Rio Negro (PR)",0.76
"Itaara (RS)",0.76
"Modelo (SC)",0.76
"Campinas do Sul (RS)",0.76
"Tijucas (SC)",0.76
"Taiúva (SP)",0.76
"Jandira (SP)",0.76
"Cornélio Procópio (PR)",0.759
"Várzea Paulista (SP)",0.759
"Santo Antônio do Planalto (RS)",0.759
"Caraguatatuba (SP)",0.759
"Presidente Getúlio (SC)",0.759
"Rio das Pedras (SP)",0.759
"Taquaral (SP)",0.759
"Iporã do Oeste (SC)",0.759
"Três de Maio (RS)",0.759
"Gurupi (TO)",0.759
"São Lourenço (MG)",0.759
"Nova Candelária (RS)",0.759
"Rubinéia (SP)",0.759
"Monte Alegre do Sul (SP)",0.759
"Inúbia Paulista (SP)",0.759
"Salvador (BA)",0.759
"Penápolis (SP)",0.759
"Cordeirópolis (SP)",0.758
"Herval D'Oeste (SC)",0.758
"Itaúna (MG)",0.758
"Porto Feliz (SP)",0.758
"Colorado (RS)",0.758
"Antônio Prado (RS)",0.758
"São José dos Pinhais (PR)",0.758
"Piratuba (SC)",0.758
"Piraju (SP)",0.758
"Iguaraçu (PR)",0.758
"São João Del Rei (MG)",0.758
"João Monlevade (MG)",0.758
"Fernando Prestes (SP)",0.758
"Nova Londrina (PR)",0.758
"Álvares Machado (SP)",0.758
"Faxinal dos Guedes (SC)",0.758
"Guabiju (RS)",0.758
"Nova Mutum (MT)",0.758
"Picada Café (RS)",0.758
"Maripá (PR)",0.758
"Vista Gaúcha (RS)",0.757
"Campo Mourão (PR)",0.757
"Presidente Lucena (RS)",0.757
"Chapada (RS)",0.757
"Diadema (SP)",0.757
"Águas de Santa Bárbara (SP)",0.757
"Gravatal (SC)",0.757
"Dois Lajeados (RS)",0.757
"Colina (SP)",0.757
"Vanini (RS)",0.757
"Estância Velha (RS)",0.757
"Piquete (SP)",0.757
"Palhoça (SC)",0.757
"Jataí (GO)",0.757
"Santo Antônio do Aracanguá (SP)",0.757
"Presidente Bernardes (SP)",0.757
"Canoinhas (SC)",0.757
"Pedro Leopoldo (MG)",0.757
"Cachoeirinha (RS)",0.757
"Santa Rosa de Lima (SC)",0.757
"Contagem (MG)",0.756
"Hortolândia (SP)",0.756
"Jambeiro (SP)",0.756
"Passos (MG)",0.756
