"Nível","Cód.","Unidade da Federação","gini","tipo"
"UF","11","Rondônia","0.472","Índice"
"UF","12","Acre","0.559","Índice"
"UF","13","Amazonas","0.566","Índice"
"UF","14","Roraima","0.580","Índice"
"UF","15","Pará","0.528","Índice"
"UF","16","Amapá","0.513","Índice"
"UF","17","Tocantins","0.530","Índice"
"UF","21","Maranhão","0.531","Índice"
"UF","22","Piauí","0.537","Índice"
"UF","23","Ceará","0.562","Índice"
"UF","24","Rio Grande do Norte","0.554","Índice"
"UF","25","Paraíba","0.561","Índice"
"UF","26","Pernambuco","0.574","Índice"
"UF","27","Alagoas","0.527","Índice"
"UF","28","Sergipe","0.581","Índice"
"UF","29","Bahia","0.557","Índice"
"UF","31","Minas Gerais","0.487","Índice"
"UF","32","Espírito Santo","0.520","Índice"
"UF","33","Rio de Janeiro","0.552","Índice"
"UF","35","São Paulo","0.526","Índice"
"UF","41","Paraná","0.477","Índice"
"UF","42","Santa Catarina","0.421","Índice"
"UF","43","Rio Grande do Sul","0.482","Índice"
"UF","50","Mato Grosso do Sul","0.483","Índice"
"UF","51","Mato Grosso","0.454","Índice"
"UF","52","Goiás","0.460","Índice"
"UF","53","Distrito Federal","0.554","Índice"
