ano;cod_reg;uf;uf_nome;cod_mun;municipio;pib;pib_p_capta
2019;11;RO ;Rondônia            ;1100015;Alta Floresta D'Oeste                                                                                                           ;495628767;21600.73
2019;11;RO ;Rondônia            ;1100023;Ariquemes                                                                                                                       ;2578829725;23908.38
2019;11;RO ;Rondônia            ;1100031;Cabixi                                                                                                                          ;139959390;26347.78
2019;11;RO ;Rondônia            ;1100049;Cacoal                                                                                                                          ;2260643565;26483.95
2019;11;RO ;Rondônia            ;1100056;Cerejeiras                                                                                                                      ;506854457;31051.55
2019;11;RO ;Rondônia            ;1100064;Colorado do Oeste                                                                                                               ;334851274;21083.70
2019;11;RO ;Rondônia            ;1100072;Corumbiara                                                                                                                      ;349247369;47253.06
2019;11;RO ;Rondônia            ;1100080;Costa Marques                                                                                                                   ;238768544;13025.40
2019;11;RO ;Rondônia            ;1100098;Espigão D'Oeste                                                                                                                 ;624760162;19298.21
2019;11;RO ;Rondônia            ;1100106;Guajará-Mirim                                                                                                                   ;892883182;19337.36
2019;11;RO ;Rondônia            ;1100114;Jaru                                                                                                                            ;1500889690;28988.70
2019;11;RO ;Rondônia            ;1100122;Ji-Paraná                                                                                                                       ;3782971683;29332.41
2019;11;RO ;Rondônia            ;1100130;Machadinho D'Oeste                                                                                                              ;633006802;15828.73
2019;11;RO ;Rondônia            ;1100148;Nova Brasilândia D'Oeste                                                                                                        ;359524037;17560.03
2019;11;RO ;Rondônia            ;1100155;Ouro Preto do Oeste                                                                                                             ;834168267;23148.83
2019;11;RO ;Rondônia            ;1100189;Pimenta Bueno                                                                                                                   ;1163876976;31747.87
2019;11;RO ;Rondônia            ;1100205;Porto Velho                              Região Metropolitana de Porto Velho                                                    ;17912070137;33825.46
2019;11;RO ;Rondônia            ;1100254;Presidente Médici                                                                                                               ;427751732;22529.85
2019;11;RO ;Rondônia            ;1100262;Rio Crespo                                                                                                                      ;111023296;29496.09
2019;11;RO ;Rondônia            ;1100288;Rolim de Moura                                                                                                                  ;1283433654;23310.58
2019;11;RO ;Rondônia            ;1100296;Santa Luzia D'Oeste                                                                                                             ;142611547;21957.13
2019;11;RO ;Rondônia            ;1100304;Vilhena                                                                                                                         ;2831175371;28353.15
2019;11;RO ;Rondônia            ;1100320;São Miguel do Guaporé                                                                                                           ;615803842;26768.26
2019;11;RO ;Rondônia            ;1100338;Nova Mamoré                                                                                                                     ;529261253;17305.73
2019;11;RO ;Rondônia            ;1100346;Alvorada D'Oeste                                                                                                                ;260347872;18065.91
2019;11;RO ;Rondônia            ;1100379;Alto Alegre dos Parecis                                                                                                         ;288681169;21802.07
2019;11;RO ;Rondônia            ;1100403;Alto Paraíso                                                                                                                    ;358463741;16728.75
2019;11;RO ;Rondônia            ;1100452;Buritis                                                                                                                         ;726030847;18309.15
2019;11;RO ;Rondônia            ;1100502;Novo Horizonte do Oeste                                                                                                         ;165757502;19414.09
2019;11;RO ;Rondônia            ;1100601;Cacaulândia                                                                                                                     ;144436935;23184.10
2019;11;RO ;Rondônia            ;1100700;Campo Novo de Rondônia                                                                                                          ;274627494;19423.40
2019;11;RO ;Rondônia            ;1100809;Candeias do Jamari                       Região Metropolitana de Porto Velho                                                    ;547919043;20526.69
2019;11;RO ;Rondônia            ;1100908;Castanheiras                                                                                                                    ;103962662;34063.78
2019;11;RO ;Rondônia            ;1100924;Chupinguaia                                                                                                                     ;304759319;27254.46
2019;11;RO ;Rondônia            ;1100940;Cujubim                                                                                                                         ;384877740;15263.84
2019;11;RO ;Rondônia            ;1101005;Governador Jorge Teixeira                                                                                                       ;177921665;22907.39
2019;11;RO ;Rondônia            ;1101104;Itapuã do Oeste                                                                                                                 ;184014424;17595.57
2019;11;RO ;Rondônia            ;1101203;Ministro Andreazza                                                                                                              ;216408886;22402.58
2019;11;RO ;Rondônia            ;1101302;Mirante da Serra                                                                                                                ;217045865;19826.97
2019;11;RO ;Rondônia            ;1101401;Monte Negro                                                                                                                     ;291768159;18405.76
2019;11;RO ;Rondônia            ;1101435;Nova União                                                                                                                      ;117333597;16834.09
2019;11;RO ;Rondônia            ;1101450;Parecis                                                                                                                         ;107282707;17662.61
2019;11;RO ;Rondônia            ;1101468;Pimenteiras do Oeste                                                                                                            ;116503314;53712.92
2019;11;RO ;Rondônia            ;1101476;Primavera de Rondônia                                                                                                           ;61841297;21653.12
2019;11;RO ;Rondônia            ;1101484;São Felipe D'Oeste                                                                                                              ;89230432;17252.60
2019;11;RO ;Rondônia            ;1101492;São Francisco do Guaporé                                                                                                        ;353247213;17430.53
2019;11;RO ;Rondônia            ;1101500;Seringueiras                                                                                                                    ;236311878;19931.84
2019;11;RO ;Rondônia            ;1101559;Teixeirópolis                                                                                                                   ;92328284;21431.82
2019;11;RO ;Rondônia            ;1101609;Theobroma                                                                                                                       ;191508530;18336.70
2019;11;RO ;Rondônia            ;1101708;Urupá                                                                                                                           ;215380803;18782.66
2019;11;RO ;Rondônia            ;1101757;Vale do Anari                                                                                                                   ;166785824;14886.27
2019;11;RO ;Rondônia            ;1101807;Vale do Paraíso                                                                                                                 ;146563877;21474.56
2019;12;AC ;Acre                ;1200013;Acrelândia                                                                                                                      ;253609712;16623.60
2019;12;AC ;Acre                ;1200054;Assis Brasil                                                                                                                    ;93054149;12546.06
2019;12;AC ;Acre                ;1200104;Brasiléia                                                                                                                       ;454802574;17307.35
2019;12;AC ;Acre                ;1200138;Bujari                                                                                                                          ;157655612;15357.06
2019;12;AC ;Acre                ;1200179;Capixaba                                                                                                                        ;153209713;13058.02
2019;12;AC ;Acre                ;1200203;Cruzeiro do Sul                                                                                                                 ;1440378526;16298.30
2019;12;AC ;Acre                ;1200252;Epitaciolândia                                                                                                                  ;423163089;22984.25
2019;12;AC ;Acre                ;1200302;Feijó                                                                                                                           ;356965446;10263.53
2019;12;AC ;Acre                ;1200328;Jordão                                                                                                                          ;82484119;9917.53
2019;12;AC ;Acre                ;1200336;Mâncio Lima                                                                                                                     ;205845369;10847.10
2019;12;AC ;Acre                ;1200344;Manoel Urbano                                                                                                                   ;131564877;13908.96
