"","cod_municipio_ibge","NO_MUNICIPIO_RESIDENCIA","UF","mean_grades_group_cities","fibra_optica","wifi","ethernet","lte","vsatelite","wimax","plc_eletrico","xdsl","cable_modem","fwa_5g_fixed","atm_backbone","dth_satelite","hfc_tv_cabo","fr_frame_relay","mmds","remuneracao_media","desvio_padrao"
"1",1100015,"Alta Floresta D'Oeste","RO",493.00977393617,0,0,3,0,0,0,0,239,0,0,0,0,0,2,0,2030.28,5653.47
"2",1100023,"Ariquemes","RO",491.642411865864,0,0,47,0,0,0,0,0,0,8,0,0,0,3,0,2030.28,5653.47
"3",1100031,"Cabixi","RO",479.756640625,3,129,2,0,3,0,0,75,0,0,0,0,0,0,0,2030.28,5653.47
"4",1100049,"Cacoal","RO",497.17600658858,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,2030.28,5653.47
"5",1100056,"Cerejeiras","RO",493.380821917808,0,0,0,0,0,0,0,644,0,0,0,0,0,4,0,2030.28,5653.47
"6",1100064,"Colorado do Oeste","RO",495.07673992674,0,618,0,0,0,0,0,524,0,0,0,0,0,3,0,2030.28,5653.47
"7",1100072,"Corumbiara","RO",481.59525862069,5,108,3,0,0,0,0,156,0,0,0,0,0,0,0,2030.28,5653.47
"8",1100080,"Costa Marques","RO",461.051552795031,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2030.28,5653.47
"9",1100098,"Espigão D'Oeste","RO",494.15892,0,0,5,0,4,0,0,553,0,1,0,0,0,1,0,2030.28,5653.47
"10",1100106,"Guajará-Mirim","RO",465.048054803789,0,0,26,0,0,0,0,1880,0,1,0,0,0,5,0,2030.28,5653.47
"11",1100114,"Jaru","RO",482.158315621679,0,0,16,0,0,0,0,2732,0,1,0,0,0,6,0,2030.28,5653.47
"12",1100122,"Ji-Paraná","RO",491.132627504554,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,2030.28,5653.47
"13",1100130,"Machadinho D'Oeste","RO",482.365079365079,0,0,9,0,0,0,0,447,0,0,0,0,0,0,0,2030.28,5653.47
"14",1100148,"Nova Brasilândia D'Oeste","RO",485.944259259259,0,0,5,0,0,0,0,142,0,0,0,0,0,3,0,2030.28,5653.47
"15",1100155,"Ouro Preto do Oeste","RO",486.297923076923,0,0,0,0,0,0,0,1610,0,4,0,0,7,2,0,2030.28,5653.47
